	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
37	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0
38	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1
39	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0
40	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1
41	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1
42	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1
43	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1
44	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1
45	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
46	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1
47	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1
48	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1
49	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0
50	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	1	0	1	1	0	1	1	1	0	1
51	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0
52	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
53	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1
54	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
55	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0
56	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1
57	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1
58	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1
59	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1
60	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	0	1
61	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0
62	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	1
63	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0
64	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
65	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0
66	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1
67	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1
68	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	0
69	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0
70	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0
71	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1
72	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1
73	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0
74	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
75	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1
76	0	1	0	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1
77	1	0	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	1
78	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1
79	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1
80	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	1
81	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0	1	1	1	0	1	1	0	0
82	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1
83	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0
84	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0
85	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	1	1	1
86	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1
87	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1
88	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0
89	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
90	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1
91	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0
92	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1
93	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
94	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	1
95	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1
96	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1
97	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1
98	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0
99	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1
100	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0
