from.gene	relation	to.gene
Pbx1	1	Runx1
Prdm16	1	Prdm16
Runx1	1	Runx1
Runx1	1	Tcf7
Smarcc1	1	Smarcc1
Tal1	1	Tal1
Tcf7	1	Tcf7
Erg	1	Bptf
Gata2	1	Bptf
Ikzf1	1	Bptf
Lmo2	1	Bptf
Myb	1	Bptf
Nfe2	1	Bptf
Smarcc1	1	Bptf
Fli1	1	Cbfa2t3h
Gata1	1	Cbfa2t3h
Gata2	1	Cbfa2t3h
Ikzf1	1	Cbfa2t3h
Meis1	1	Cbfa2t3h
Myb	1	Cbfa2t3h
Nfe2	1	Cbfa2t3h
Fli1	1	Erg
Gata1	-1	Erg
Lyl1	1	Erg
Meis1	1	Erg
Etv6	-1	Ets1
Hoxa9	1	Ets1
Ikzf1	1	Ets1
Notch	1	Ets1
Tcf7	1	Ets1
Fli1	1	Ets2
Gfi1b	1	Ets2
Smarcc1	1	Ets2
Fli1	1	Etv6
Gfi1b	-1	Etv6
Meis1	1	Etv6
Runx1	1	Etv6
Smarcc1	1	Etv6
Gata1	-1	Fli1
Ldb1	-1	Fli1
Meis1	1	Fli1
Mitf	1	Fli1
Myb	-1	Fli1
Nfe2	1	Fli1
Pbx1	1	Fli1
Prdm16	1	Fli1
Runx1	1	Fli1
Smarcc1	1	Fli1
Gata2	1	Gata1
Gfi1b	1	Gata1
Hoxa5	1	Gata1
Hoxa9	-1	Gata1
Lyl1	-1	Gata1
Myb	1	Gata1
Nkx2.3	-1	Gata1
Smarcc1	1	Gata1
Tal1	1	Gata1
Tcf7	1	Gata1
Gfi1b	1	Gata2
Hoxa9	-1	Gata2
Ikzf1	-1	Gata2
Meis1	1	Gata2
Nfe2	1	Gata2
Notch	-1	Gata2
Pbx1	1	Gata2
Smarcc1	-1	Gata2
Tal1	1	Gata2
Myb	-1	Gata3
Nkx2.3	1	Gata3
Smarcc1	-1	Gata3
Tal1	1	Gata3
Tcf7	1	Gata3
Notch	-1	Gfi1b
Pbx1	1	Gfi1b
Tal1	1	Gfi1b
Hoxa5	1	Hhex
Nfe2	1	Hhex
Hoxa9	1	Hoxa5
Prdm16	1	Hoxa5
Tcf7	1	Hoxa5
Ikzf1	1	Hoxa9
Lyl1	1	Hoxa9
Meis1	1	Hoxa9
Nkx2.3	1	Hoxa9
Tcf7	1	Hoxb4
Ldb1	1	Ikzf1
Myb	1	Ikzf1
Pbx1	-1	Ikzf1
Smarcc1	1	Ikzf1
Tcf7	-1	Ikzf1
Lmo2	1	Ldb1
Myb	1	Ldb1
Smarcc1	1	Ldb1
Lyl1	1	Lmo2
Meis1	1	Lmo2
Nfe2	1	Lmo2
Nkx2.3	1	Lmo2
Notch	1	Lmo2
Runx1	-1	Lmo2
Tal1	1	Lmo2
Myb	1	Lyl1
Nfe2	1	Lyl1
Nkx2.3	1	Lyl1
Smarcc1	1	Lyl1
Myb	-1	Meis1
Nfe2	1	Meis1
Nkx2.3	1	Meis1
Pbx1	1	Meis1
Runx1	1	Meis1
Nfe2	1	Myb
Nkx2.3	-1	Myb
Pbx1	-1	Myb
Prdm16	-1	Myb
Runx1	1	Myb
Smarcc1	1	Myb
Notch	-1	Nfe2
Runx1	-1	Nkx2.3
Smarcc1	-1	Nkx2.3
Tcf7	1	Nkx2.3
Tcf7	1	Notch
Runx1	1	Pbx1
Tcf7	1	Runx1
