Bptf	Cbfa2t3h	Erg	Ets1	Ets2	Etv6	Fli1	Gata1	Gata2	Gata3	Gfi1b	Hhex	Hoxa5	Hoxa9	Hoxb4	Ikzf1	Ldb1	Lmo2	Lyl1	Meis1	Mitf	Myb	Nfe2	Nkx2.3	Notch	Pbx1	Prdm16	Runx1	Smarcc1	Tal1	Tcf7
HSC_150_055	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0
HSC48_127	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0
HSC48_113	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0
HSC34_333	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0
HSC34_257	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0
HSC_150_095	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0
HSC_150_093	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0
HSC48_020	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
HSC_150_024	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
HSC34_320	1	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0
HSC_150neg_112	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0
HSC34_265	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
HSC34_409	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
HSC_150neg_238	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC_150_132	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0
HSC_150_060	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
HSC48_068	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0
HSC48_198	1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0
HSC48_105	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0
HSC_150neg_046	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0
HSC_150_195	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0
HSC48_012	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0
HSC48_117	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0
HSC_150neg_225	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
HSC_150_091	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0
HSC48_038	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0
HSC34_368	1	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0
HSC_150neg_279	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1	0
HSC_150_173	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0
HSC_150_124	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0
HSC_150neg_200	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0
HSC34_399	0	0	1	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0
HSC_150_146	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0
HSC_150neg_252	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0
HSC_150neg_260	1	1	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0
HSC48_094	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
HSC34_364	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0
HSC_150neg_091	1	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1	0
HSC_150neg_069	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	0
HSC_150neg_246	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0
HSC48_116	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0
HSC_150neg_247	1	1	1	0	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC_150_110	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0
HSC48_055	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0
HSC_150_159	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0
HSC_150_005	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0
HSC_150_123	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0
HSC_SP_056	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0
HSC48_044	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0
HSC_150neg_017	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0
HSC48_034	1	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0
HSC48_180	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0
HSC34_303	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0
HSC_150neg_077	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0
HSC48_073	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	1	0
HSC_150neg_264	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
HSC_150_131	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
HSC_150neg_118	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0
HSC_150neg_213	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0
HSC34_385	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
HSC_150neg_202	1	1	1	0	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
HSC_150neg_067	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0
HSC_150_050	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0
HSC_SP_160	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
HSC34_322	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC34_241	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0
HSC34_259	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0
HSC48_143	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0
HSC_150neg_089	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0
HSC34_411	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0
HSC_150_190	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0
HSC_150neg_245	1	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0
HSC48_066	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
HSC34_229	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0
HSC34_349	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
HSC48_029	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
HSC34_225	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC_150neg_002	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0
HSC34_365	1	0	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC_150_056	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0
HSC_150neg_262	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0
HSC_150neg_100	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0
HSC_150neg_286	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	0	0
HSC_150neg_088	1	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0
HSC_150neg_053	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0
HSC48_184	0	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0
HSC_150neg_198	1	0	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0
HSC_150neg_137	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0
HSC_150neg_012	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0
HSC48_102	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0
HSC34_221	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0
HSC_150neg_145	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0
HSC_150neg_277	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC_150neg_269	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0
HSC34_323	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0
HSC34_378	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0
HSC48_053	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	0	0
HSC34_405	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0
HSC_150neg_152	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0
HSC_150neg_250	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0
HSC48_168	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0
HSC_150neg_189	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0
HSC_150neg_033	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0
HSC_150neg_221	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0
HSC_150neg_143	1	0	1	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0
HSC_150neg_156	1	0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0
HSC48_015	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0
HSC_150neg_104	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0
HSC34_307	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0
HSC_150neg_243	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0
HSC_150neg_266	1	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0
HSC_150neg_284	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0
MPP_160	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0
HSC_150neg_294	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0
HSC_150neg_097	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0
HSC_150neg_059	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0
HSC48_043	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
HSC34_296	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0
HSC_150neg_280	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0
HSC34_295	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0
HSC_150neg_014	1	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0
HSC34_233	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC34_276	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0
